ITEM	1	787	1060
ITEM	2	941	1131
ITEM	3	982	1147
ITEM	4	271	670
ITEM	5	888	1108
ITEM	6	930	1126
ITEM	7	591	946
ITEM	8	353	756
ITEM	9	12	145
ITEM	10	163	527
ITEM	11	936	1128
ITEM	12	600	952
ITEM	13	173	542
ITEM	14	718	1023
ITEM	15	933	1127
ITEM	16	328	731
ITEM	17	749	1040
ITEM	18	986	1149
ITEM	19	309	711
ITEM	20	134	479
ITEM	21	89	393
ITEM	22	997	1153
ITEM	23	265	663
ITEM	24	58	318
ITEM	25	663	991
ITEM	26	71	352
ITEM	27	136	483
ITEM	28	706	1016
ITEM	29	314	717
ITEM	30	208	592
ITEM	31	852	1091
ITEM	32	3	73
ITEM	33	617	963
ITEM	34	117	449
ITEM	35	467	856
ITEM	36	733	1031
ITEM	37	897	1112
ITEM	38	303	705
ITEM	39	539	910
ITEM	40	512	890
ITEM	41	923	1123
ITEM	42	98	412
ITEM	43	650	983
ITEM	44	362	765
ITEM	45	820	1076
ITEM	46	56	313
ITEM	47	842	1087
ITEM	48	534	906
ITEM	49	221	609
ITEM	50	625	968
ITEM	51	242	635
ITEM	52	740	1035
ITEM	53	196	575
ITEM	54	479	865
ITEM	55	678	1000
ITEM	56	450	842
ITEM	57	986	1149
ITEM	58	439	833
ITEM	59	543	913
ITEM	60	408	807
ITEM	61	79	371
ITEM	62	379	780
ITEM	63	709	1018
ITEM	64	27	218
ITEM	65	652	984
ITEM	66	20	188
ITEM	67	758	1045
ITEM	68	818	1075
ITEM	69	911	1118
ITEM	70	31	233
ITEM	71	316	719
ITEM	72	503	884
ITEM	73	369	771
ITEM	74	327	730
ITEM	75	779	1056
ITEM	76	982	1147
ITEM	77	583	940
ITEM	78	981	1147
ITEM	79	195	574
ITEM	80	793	1063
ITEM	81	383	784
ITEM	82	659	989
ITEM	83	600	952
ITEM	84	238	630
ITEM	85	131	474
ITEM	86	969	1142
ITEM	87	581	939
ITEM	88	819	1076
ITEM	89	36	251
ITEM	90	649	983
ITEM	91	348	751
ITEM	92	146	500
ITEM	93	52	302
ITEM	94	983	1148
ITEM	95	96	408
ITEM	96	971	1143
ITEM	97	399	799
ITEM	98	370	772
ITEM	99	944	1132
ITEM	100	507	887
ITEM	101	240	633
ITEM	102	430	825
ITEM	103	220	607
ITEM	104	686	1005
ITEM	105	524	899
ITEM	106	578	937
ITEM	107	390	791
ITEM	108	510	889
ITEM	109	560	925
ITEM	110	444	837
ITEM	111	391	791
ITEM	112	157	517
ITEM	113	321	724
ITEM	114	74	359
ITEM	115	676	999
ITEM	116	996	1153
ITEM	117	34	244
ITEM	118	302	704
ITEM	119	725	1027
ITEM	120	163	527
ITEM	121	66	339
ITEM	122	194	572
ITEM	123	320	723
ITEM	124	859	1095
ITEM	125	660	989
ITEM	126	987	1149
ITEM	127	365	767
ITEM	128	28	222
ITEM	129	527	901
ITEM	130	417	814
ITEM	131	522	898
ITEM	132	561	925
ITEM	133	852	1091
ITEM	134	851	1091
ITEM	135	455	846
ITEM	136	700	1013
ITEM	137	719	1023
ITEM	138	111	438
ITEM	139	955	1136
ITEM	140	778	1055
ITEM	141	508	887
ITEM	142	425	821
ITEM	143	735	1032
ITEM	144	963	1140
ITEM	145	282	682
ITEM	146	388	789
ITEM	147	170	537
ITEM	148	168	534
ITEM	149	699	1012
ITEM	150	342	745
ITEM	151	765	1048
ITEM	152	765	1048
ITEM	153	485	870
ITEM	154	99	414
ITEM	155	635	974
ITEM	156	271	670
ITEM	157	988	1150
ITEM	158	387	788
ITEM	159	774	1053
ITEM	160	674	998
ITEM	161	858	1094
ITEM	162	946	1133
ITEM	163	395	795
ITEM	164	522	898
ITEM	165	370	772
ITEM	166	672	996
ITEM	167	129	471
ITEM	168	466	855
ITEM	169	440	834
ITEM	170	715	1021
ITEM	171	354	757
ITEM	172	397	797
ITEM	173	839	1085
ITEM	174	939	1130
ITEM	175	438	832
ITEM	176	827	1079
ITEM	177	664	992
ITEM	178	647	981
ITEM	179	187	562
ITEM	180	686	1005
ITEM	181	578	937
ITEM	182	985	1148
ITEM	183	265	663
ITEM	184	184	558
ITEM	185	857	1094
ITEM	186	921	1122
ITEM	187	877	1103
ITEM	188	885	1106
ITEM	189	777	1054
ITEM	190	212	597
ITEM	191	488	872
